Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
0000BigBrother,SI,12,0,84.255.238.118,ceferin.eu,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
0000hello,PL,5,26,91.228.196.25,25.seven.greendata.pl,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux x86_64,0,0
0000MiddlemanWV,US,0,4,65.199.52.129,65.199.52.129,9029,None,0,0,0,0,1,1,1,1,0,Tor 0.2.4.18-rc on Windows 7,0,0
0000Userzap,DE,74,2,46.38.250.39,threepwood.userzap.de,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
000111000,DE,3,1,212.114.250.18,DSL01.212.114.250.18.ip-pool.NEFkom.net,8443,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.39 (git-bec76476efb71549) on Windows XP Service Pack 3 [workstation],0,0
000TORannosaurusRex,US,5,1,67.149.236.45,d149-67-45-236.try.wideopenwest.com,469,869,0,0,1,0,1,0,1,1,1,Tor 0.2.4.17-rc on Windows XP,0,0
000TorHelper,DE,120,118,84.38.66.218,no.de,443,9000,0,1,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
000WarIsPeace,PL,97,21,193.25.1.139,ip-1-139.gemini.net.pl,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux x86_64,0,0
00brilliano001,US,918,80,192.155.83.101,brilliano.com,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
00TorFofo,FR,4195,15,77.207.111.206,206.111.207.77.rev.sfr.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
0FreedomOfSpeech,PL,17,6,193.25.1.157,ip-1-157.gemini.net.pl,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
0MinistryOfTruth,NL,965,12,146.185.133.169,146.185.133.169,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
0neZCoole,FR,7,1,78.205.17.60,78.205.17.60,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.3.25 on Windows 7,0,0
0PointerOrgTorRelay,DE,3,1,37.4.194.11,37-4-194-11-dynip.superkabel.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
0POP6,TW,2,0,111.251.146.225,111-251-146-225.dynamic.hinet.net,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.2.39 (git-bec76476efb71549) on Windows Server 2003 Service Pack 2 [server],0,0
0SnowdenHero,DE,71,5,80.237.248.92,n80-237-248-92.cnet.hosteurope.de,10443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.3.25 on Windows 7 [server],0,0
0thernet,RU,50,22,46.146.229.29,46x146x229x29.static-customer.perm.ertelecom.ru,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
0x000001Hahaa,DE,1,35,5.9.88.18,ns1.dnshallinta.fi,8080,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
0x0420,SE,1063,3,80.216.102.47,c80-216-102-47.bredband.comhem.se,443,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
0x0DEFACE,FR,6,20,81.66.80.86,81-66-80-86.rev.numericable.fr,8443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.4.18-rc on Linux,0,0
0x3d002,DE,1776,337,85.25.208.201,0x3d.lu,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
0x3d003,LU,1904,76,94.242.197.84,94.242.197.84,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
0x40490fdb,US,23,20,71.191.90.43,pool-71-191-90-43.washdc.fios.verizon.net,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
0x640x6B,DK,27,0,93.90.115.169,vps-93-90-115-169.vpsforce.eu,9001,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
0xB00B5,GB,123,9,109.169.26.13,109.169.26.13,7443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.3.25 on Windows 7 [server],0,0
0xbadc0ffe,DE,1,0,84.144.113.184,p549071B8.dip0.t-ipconnect.de,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
0xbaddad,NL,1436,20,141.0.175.149,bin.rlogin.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.4.18-rc on Linux,0,0
0xBADF00D,SE,86,16,176.10.237.133,h-237-133.a199.priv.bahnhof.se,143,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Windows 7,0,0
0xdeadbabe,IE,3,6,54.216.98.181,ec2-54-216-98-181.eu-west-1.compute.amazonaws.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.2.39 (git-bec76476efb71549) on NetBSD i386,0,0
0xHugin,DE,27,0,87.188.230.103,p57BCE667.dip0.t-ipconnect.de,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.4.17-rc on Windows 7 [server],0,0
0xNek0irazu,JP,0,0,124.24.253.251,nfmv001076251.uqw.ppp.infoweb.ne.jp,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.3.23-rc on Linux,0,0
0xrattenkeller,DE,1084,4,195.180.11.247,vdsl-cpe875674.sytes.net,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
1,CA,0,0,96.55.184.199,S0106687f74339835.vs.shawcable.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
10GusaTOR,DE,7235,5,77.237.252.2,77.237.252.2,443,80,0,1,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
10igastor1,DE,113,103,109.239.48.174,c2.janda-tsai.com,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
1111111111111111111,US,4,114,24.218.99.140,c-24-218-99-140.hsd1.ma.comcast.net,24274,24273,0,1,1,0,1,1,1,1,1,Tor 0.2.3.25 on Windows 7,0,0
11111222222,US,13,39,216.231.135.243,www.apac-domain.com,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.36 (git-c1414cf70cbfcbb7) on Linux i686,0,0
121,SE,531,11,83.233.228.97,c-83-233-228-97.cust.bredband2.com,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
1234,DE,0,0,77.2.133.147,frbg-4d028593.pool.mediaWays.net,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
123456Unnamed,RU,33,8,46.47.15.95,xtp-15-ip95.dvpn.rybnet.ru,443,9030,0,1,0,0,1,0,1,1,1,Tor 0.2.3.25 on Windows 7,0,0
123tor,DE,245,1,78.49.183.231,f049183231.adsl.alicedsl.de,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Darwin,0,0
17dbb657,US,12,94,66.250.216.134,66.250.216.134,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.4.17-rc on FreeBSD,0,0
1984,DE,274,65,5.9.79.6,getcritica.com,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux x86_64,0,0
1984now,NL,4,4,87.195.32.207,dsl-087-195-032-207.solcon.nl,7878,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Windows Vista,0,0
1d1dnt3d1th3c0nf1g,NL,0,124,80.101.128.228,pindarots.xs4all.nl,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
1freespeakGER,IE,9,1,217.78.1.103,dub227.bitcoinwebhosting.net,9001,None,0,1,0,0,0,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
1n1is10,US,1,4,209.134.116.150,209-134-116-150-user.feather.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.3.25 on Darwin,0,0
24b6,US,6,34,74.50.51.30,24b6.net,9001,None,0,1,0,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
24thDegree,US,52,8,184.105.237.85,tor.phjeer.us,9001,9030,0,1,1,0,1,1,1,1,1,Tor 0.2.3.25 on FreeBSD,0,0
2501,DE,0,0,78.48.202.249,f048202249.adsl.alicedsl.de,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
2cat,US,9,1,137.135.8.233,137.135.8.233,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
2lagavulin,US,987,4,54.194.22.77,ec2-54-194-22-77.eu-west-1.compute.amazonaws.com,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
2mpdhack,US,14,38,98.216.168.108,c-98-216-168-108.hsd1.ct.comcast.net,80,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on FreeBSD,0,0
2ndCity,FR,2952,7,37.59.163.222,torsrvo.snydernet.net,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.4.18-rc on Linux,0,0
31173Services,SE,2012,66,193.138.216.101,tor-proxy.vm.31173.se,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
3cce3a91f6a625,NL,14264,23,195.191.16.63,63-16-191-195.ftth.glasoperator.nl,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.4.17-rc on Linux,0,0
3WMmBPQd,CZ,27,1,195.113.19.46,haf.ms.mff.cuni.cz,9000,None,0,0,1,0,1,0,1,1,0,Tor 0.2.4.17-rc on Linux,0,0
404server,JP,1,20,218.222.251.33,U251033.ppp.dion.ne.jp,6699,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.3.25 on Windows XP,0,0
418imateapot,US,122,4,173.53.57.65,pool-173-53-57-65.rcmdva.fios.verizon.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
4hm1,US,10,10,23.24.130.137,23-24-130-137-static.hfc.comcastbusiness.net,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
4ndurilsNode,DE,12,49,80.81.243.120,vz220.worldserver.net,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
4thAmendment,US,99,69,192.184.81.240,192.184.81.240,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
4U2Guess,US,6,4,108.214.60.211,108-214-60-211.lightspeed.cicril.sbcglobal.net,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.4.18-rc on Windows 7,0,0
510pen,US,2,17,66.109.99.73,j3.eris.510pen.org,443,80,0,0,1,0,1,1,1,1,1,Tor 0.2.4.18-rc on FreeBSD,0,0
594ec291a82938230,US,90,32,199.127.56.76,199-127-56.static.fiberhub.net,49152,49153,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on FreeBSD,0,0
5979ft,US,6,7,97.122.184.135,97-122-184-135.hlrn.qwest.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Windows 8,0,0
5a5540c06a17501959,CA,0,2,99.234.43.160,CPE0080c6f15b5b-CM00159aab8560.cpe.net.cable.rogers.com,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
5cat,US,367,16,69.164.195.92,ihas.5cat.com,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
5f9aff2c,GB,11,0,149.255.102.12,12.102.255.149.in-addr.arpa,443,None,0,1,1,0,1,0,1,1,0,Tor 0.2.3.25 on Linux,0,0
65x23x153x114,US,6,32,65.23.153.114,wserv4.phx.revenueworks.net,443,80,0,0,1,0,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
666kb,NL,2450,3,94.100.18.162,666kb.com,443,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
7qjwNwroFAn4FtTE,DE,91,2,188.138.116.232,zulu1552.server4you.de,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
8Ball,CA,4,5,99.230.148.52,CPE78ca39fbce14-CM18593340ecc9.cpe.net.cable.rogers.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Darwin,0,0
8cores,DE,395,0,93.201.66.94,p5DC9425E.dip0.t-ipconnect.de,9015,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.25 on Windows 8,0,0
8lyWARGTU4wesrfy8i,GB,49,5,176.58.121.159,li523-159.members.linode.com,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.3.25 on Linux,0,0
8Mu,RU,100,6,2.95.207.158,2.95.207.158,443,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.39 (git-bec76476efb71549) on Windows Server 2003 Service Pack 2 [server],0,0
A1337,US,2,13,192.3.150.151,192.3.150.151,80,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.39 (git-2f7e71c2e896772f) on Linux i686,0,0
A2krReFJDaZI8ubtY7X,US,22,75,75.145.22.45,75-145-22-45-Washington.hfc.comcastbusiness.net,60531,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.25 on Linux,0,0
aaa1559,FR,505,2,91.121.66.157,ax300845.smartxhosting.com,9337,9336,0,0,1,1,1,1,1,1,1,Tor 0.2.4.17-rc on Linux,0,0
aaa345,CA,21,0,142.4.208.167,ks4003088.ip-142-4-208.net,9337,9336,0,0,1,0,0,0,1,1,1,Tor 0.2.3.25 on Linux,0,0
